Short,Short,module,Amasty_Feed
"With Category","With Category",module,Amasty_Feed
"Tax Percents","Tax Percents",module,Amasty_Feed
"Sale Price Effective Date","Sale Price Effective Date",module,Amasty_Feed
"Upload feeds to Google servers automatically?","Upload feeds to Google servers automatically?",module,Amasty_Feed
"Step 7: Upload to Google Server","Step 7: Upload to Google Server",module,Amasty_Feed
"Upload feeds to google server automatically?","Upload feeds to google server automatically?",module,Amasty_Feed
"Step 2: Exclude Categories","Step 2: Exclude Categories",module,Amasty_Feed
"Step 1: General Settings","Step 1: General Settings",module,Amasty_Feed
"Feed Name","Feed Name",module,Amasty_Feed
"Store View","Store View",module,Amasty_Feed
"Price Currency","Price Currency",module,Amasty_Feed
"Step 5: Optional Product Information","Step 5: Optional Product Information",module,Amasty_Feed
"Step 3: Rename Categories","Step 3: Rename Categories",module,Amasty_Feed
"Step 6: Schedule Settings","Step 6: Schedule Settings",module,Amasty_Feed
"Current Time","Current Time",module,Amasty_Feed
"No cron jobs found","No cron jobs found",module,Amasty_Feed
"Learn more","Learn more",module,Amasty_Feed
"Cron (Last 5)","Cron (Last 5)",module,Amasty_Feed
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files.",module,Amasty_Feed
"Warning: 'pcntl' php extension is required for parallel feed generation.","Warning: 'pcntl' php extension is required for parallel feed generation.",module,Amasty_Feed
"You deleted the category.","You deleted the category.",module,Amasty_Feed
"We can't delete the category right now. Please review the log and try again.","We can't delete the category right now. Please review the log and try again.",module,Amasty_Feed
"We can't find a category to delete.","We can't find a category to delete.",module,Amasty_Feed
"This category no longer exists.","This category no longer exists.",module,Amasty_Feed
"Amasty Feed","Amasty Feed",module,Amasty_Feed
"Categories Mapping Edit","Categories Mapping Edit",module,Amasty_Feed
"New Categories Mapping","New Categories Mapping",module,Amasty_Feed
"Categories Mapping","Categories Mapping",module,Amasty_Feed
"You saved the category mapping.","You saved the category mapping.",module,Amasty_Feed
"Something went wrong while saving the feed data. Please review the error log.","Something went wrong while saving the feed data. Please review the error log.",module,Amasty_Feed
"This feed no longer exists.","This feed no longer exists.",module,Amasty_Feed
"Something went wrong. Please review the error log.","Something went wrong. Please review the error log.",module,Amasty_Feed
"There are no products to generate feed. Please check Amasty Feed indexers status or feed conditions.","There are no products to generate feed. Please check Amasty Feed indexers status or feed conditions.",module,Amasty_Feed
Success!,Success!,module,Amasty_Feed
"Request params is empty","Request params is empty",module,Amasty_Feed
"Invalid protocol","Invalid protocol",module,Amasty_Feed
"Amasty Feed test connection file!","Amasty Feed test connection file!",module,Amasty_Feed
"No write permissions","No write permissions",module,Amasty_Feed
"Invalid path","Invalid path",module,Amasty_Feed
"You deleted the feed.","You deleted the feed.",module,Amasty_Feed
"We can't delete the feed right now. Please review the log and try again.","We can't delete the feed right now. Please review the log and try again.",module,Amasty_Feed
"We can't find a feed to delete.","We can't find a feed to delete.",module,Amasty_Feed
"Feed %1 was duplicated","Feed %1 was duplicated",module,Amasty_Feed
"Feed Edit","Feed Edit",module,Amasty_Feed
"New Feed","New Feed",module,Amasty_Feed
"Feed %1 created","Feed %1 created",module,Amasty_Feed
"Something went wrong while export feed data. Please review the error log.","Something went wrong while export feed data. Please review the error log.",module,Amasty_Feed
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted.",module,Amasty_Feed
"There are no products to generate feed.Please check Amasty Feed indexers status or feed conditions.","There are no products to generate feed.Please check Amasty Feed indexers status or feed conditions.",module,Amasty_Feed
"You saved the feed.","You saved the feed.",module,Amasty_Feed
"Template %1 was created","Template %1 was created",module,Amasty_Feed
"You deleted the field.","You deleted the field.",module,Amasty_Feed
"We can't delete the field right now. Please review the log and try again.","We can't delete the field right now. Please review the log and try again.",module,Amasty_Feed
"We can't find a field to delete.","We can't find a field to delete.",module,Amasty_Feed
"New Condition-Based Attribute","New Condition-Based Attribute",module,Amasty_Feed
"This Condition-Based Attribute no longer exists.","This Condition-Based Attribute no longer exists.",module,Amasty_Feed
"Condition-Based Attributes","Condition-Based Attributes",module,Amasty_Feed
"Saved successfully","Saved successfully",module,Amasty_Feed
"Condition-Based Attribute with this code are exist. Please, choose another code name.","Condition-Based Attribute with this code are exist. Please, choose another code name.",module,Amasty_Feed
"Google Feed Wizard","Google Feed Wizard",module,Amasty_Feed
"Something went wrong while saving the Google Feed. Please review the error log.","Something went wrong while saving the Google Feed. Please review the error log.",module,Amasty_Feed
"There are no products to generate feed. Please check Amasty Feed indexers status or feed conditions.","There are no products to generate feed. Please check Amasty Feed indexers status or feed conditions.",module,Amasty_Feed
"Couldn't lock indexer. Reindex in progress.","Couldn't lock indexer. Reindex in progress.",module,Amasty_Feed
"Please check $1 and rename your categories to match the corresponding Google categories according to the requirements.<br/> <b>Important!</b> You should define the full path of the category exactly as it is in the taxonomy. For instance, if you are trying to associate your Shorts category with Google's, you might rename it to ""Apparel & Accessories > Clothing > Shorts"".","Please check $1 and rename your categories to match the corresponding Google categories according to the requirements.<br/> <b>Important!</b> You should define the full path of the category exactly as it is in the taxonomy. For instance, if you are trying to associate your Shorts category with Google's, you might rename it to ""Apparel & Accessories > Clothing > Shorts"".",module,Amasty_Feed
"Carefully review all the categories listed below and select those you want to exclude from your product feed by checking the corresponding checkbox(es). Excluded categories will not be mapped to Google Taxonomies and won't be included in the generated feed.","Carefully review all the categories listed below and select those you want to exclude from your product feed by checking the corresponding checkbox(es). Excluded categories will not be mapped to Google Taxonomies and won't be included in the generated feed.",module,Amasty_Feed
"Unable to save category with ID %1. Error: %2","Unable to save category with ID %1. Error: %2",module,Amasty_Feed
"Unable to save new category. Error: %1","Unable to save new category. Error: %1",module,Amasty_Feed
"Category with specified ID ""%1"" not found.","Category with specified ID ""%1"" not found.",module,Amasty_Feed
"Unable to remove category with ID %1. Error: %2","Unable to remove category with ID %1. Error: %2",module,Amasty_Feed
"Unable to remove category. Error: %1","Unable to remove category. Error: %1",module,Amasty_Feed
Zip,Zip,module,Amasty_Feed
Gz,Gz,module,Amasty_Feed
Bz,Bz,module,Amasty_Feed
"Successful Export","Successful Export",module,Amasty_Feed
"Unsuccessful Export","Unsuccessful Export",module,Amasty_Feed
Manually,Manually,module,Amasty_Feed
"By Schedule","By Schedule",module,Amasty_Feed
Failed,Failed,module,Amasty_Feed
Processing,Processing,module,Amasty_Feed
Ready,Ready,module,Amasty_Feed
"Not yet Generated","Not yet Generated",module,Amasty_Feed
"Will be generated on next cron run","Will be generated on next cron run",module,Amasty_Feed
Hourly,Hourly,module,Amasty_Feed
Daily,Daily,module,Amasty_Feed
Weekly,Weekly,module,Amasty_Feed
Monthly,Monthly,module,Amasty_Feed
"Default Rules","Default Rules",module,Amasty_Feed
"Shortest Path","Shortest Path",module,Amasty_Feed
"Longest Path","Longest Path",module,Amasty_Feed
"Use 'pub/media' folder","Use 'pub/media' folder",module,Amasty_Feed
"Use 'var' folder","Use 'var' folder",module,Amasty_Feed
"Please correct the file format.","Please correct the file format.",module,Amasty_Feed
"The header column names are already set.","The header column names are already set.",module,Amasty_Feed
"Error(s) occurred during feed generation, attribute code(s): ""%1""","Error(s) occurred during feed generation, attribute code(s): ""%1""",module,Amasty_Feed
"Unable to save feed with ID %1. Error: %2","Unable to save feed with ID %1. Error: %2",module,Amasty_Feed
"Unable to save new feed. Error: %1","Unable to save new feed. Error: %1",module,Amasty_Feed
"Feed with specified ID ""%1"" not found.","Feed with specified ID ""%1"" not found.",module,Amasty_Feed
"Unable to remove feed with ID %1. Error: %2","Unable to remove feed with ID %1. Error: %2",module,Amasty_Feed
"Unable to remove feed. Error: %1","Unable to remove feed. Error: %1",module,Amasty_Feed
"Unable to save field with code %1","Unable to save field with code %1",module,Amasty_Feed
"Unable to remove entity with ID%","Unable to remove entity with ID%",module,Amasty_Feed
"Unknown compressor","Unknown compressor",module,Amasty_Feed
"Please choose a condition to add.","Please choose a condition to add.",module,Amasty_Feed
"Conditions Combination","Conditions Combination",module,Amasty_Feed
"Product Attribute","Product Attribute",module,Amasty_Feed
"Stock Status","Stock Status",module,Amasty_Feed
"Unable to save model %1","Unable to save model %1",module,Amasty_Feed
"Entity with specified ID ""%1"" not found.","Entity with specified ID ""%1"" not found.",module,Amasty_Feed
"Unable to remove entity with ID ""%1""","Unable to remove entity with ID ""%1""",module,Amasty_Feed
"Unable to remove entities with Feed ID ""%1""","Unable to remove entities with Feed ID ""%1""",module,Amasty_Feed
"Unable to save quote with ID %1. Error: %2","Unable to save quote with ID %1. Error: %2",module,Amasty_Feed
"Unable to save new quote. Error: %1","Unable to save new quote. Error: %1",module,Amasty_Feed
"Valid products with specified ID ""%1"" not found.","Valid products with specified ID ""%1"" not found.",module,Amasty_Feed
"Unable to remove quote with ID %1. Error: %2","Unable to remove quote with ID %1. Error: %2",module,Amasty_Feed
"Unable to remove quote. Error: %1","Unable to remove quote. Error: %1",module,Amasty_Feed
"Copy Link","Copy Link",module,Amasty_Feed
"Ignore category","Ignore category",module,Amasty_Feed
"Please make sure all categories are renamed and mapped to Google Taxonomy. If you don't need a certain category, please go to the previous step (""Step 2: Exclude Categories"") and specify all unwanted categories that should be excluded from the feed.","Please make sure all categories are renamed and mapped to Google Taxonomy. If you don't need a certain category, please go to the previous step (""Step 2: Exclude Categories"") and specify all unwanted categories that should be excluded from the feed.",module,Amasty_Feed
"Default Category Name","Default Category Name",module,Amasty_Feed
"New Category Name","New Category Name",module,Amasty_Feed
"Rename category","Rename category",module,Amasty_Feed
"Please wait...","Please wait...",module,Amasty_Feed
Initialising,Initialising,module,Amasty_Feed
"In Progress","In Progress",module,Amasty_Feed
